lower,median,upper,mean,tempo
0,2,6,2.3301,2.333
0,1,4,1.2227,2.667
0,0,3,0.6357,3
0,0,2,0.32825,3.333
0,0,1,0.1634,3.667
0,0,1,0.0866,4
0,0,1,0.04025,4.333
