lower,median,upper,mean,tempo
2,6,11,6.0053,3
0,3,7,3.0819,3.333
0,1,4,1.5537,3.667
0,1,3,0.7663,4
0,0,2,0.3793,4.333
0,0,1,0.1881,4.667
